"servabit_code","cee_code","sign"
"1-81-001","IFO_1A/C/IV/1/",1
"1-81-002","IFO_1A/C/IV/1/",1
"1-82-001","IFO_1A/C/IV/2/",1
"1-83-001","IFO_1A/C/IV/3/",1
"1-83-002","IFO_1A/C/IV/3/",1
"1-83-003","IFO_1A/C/IV/3/",1
"1-62-010","IFO_1A/C/II/1/",1
"1-62-016","IFO_1A/C/II/1/",1
"2-28-001","IFO_2P/D/5/",1
"2-28-002","IFO_2P/D/5/",1
"2-28-003","IFO_2P/D/5/",1
"2-29-001","IFO_2P/D/6/",1
"2-29-003","IFO_2P/D/6/",1
"2-31-001","IFO_2P/D/7/",1
"2-31-002","IFO_2P/D/7/",1
"2-31-003","IFO_2P/D/7/",1
"2-31-004","IFO_2P/D/7/",1
"2-41-004","IFO_2P/D/12/",1
"2-41-005","IFO_2P/D/12/",1
"2-41-006","IFO_2P/D/12/",1
"2-43-001","IFO_2P/D/13/",1
"2-43-002","IFO_2P/D/13/",1
"2-43-003","IFO_2P/D/13/",1
"2-45-002","IFO_2P/D/14/",1
"2-45-006","IFO_2P/D/14/",1
"2-45-010","IFO_2P/D/14/",1
"2-45-014","IFO_2P/D/14/",1
"1-62-001","IFO_1A/C/II/1/",1
"1-62-002","IFO_1A/C/II/1/",1
"1-62-003","IFO_1A/C/II/1/",1
"1-62-004","IFO_1A/C/II/1/",1
"1-62-012","IFO_1A/C/II/5/",1
"1-62-013","IFO_1A/C/II/1/",1
"1-62-014","IFO_1A/C/II/1/",1
"1-64-001","IFO_1A/C/II/2/",1
"1-64-003","IFO_1A/C/II/2/",1
"1-01-001","IFO_1A/A/a/",1
"1-01-002","IFO_1A/A/b/",1
"1-11-001","IFO_1A/B/I/1/",1
"1-11-002","IFO_1A/B/I/1/",-1
"1-11-003","IFO_1A/B/I/1/",1
"1-11-004","IFO_1A/B/I/1/",-1
"1-12-001","IFO_1A/B/I/2/",1
"1-12-002","IFO_1A/B/I/2/",-1
"1-12-003","IFO_1A/B/I/2/",1
"1-12-004","IFO_1A/B/I/2/",-1
"1-12-005","IFO_1A/B/I/2/",1
"1-12-006","IFO_1A/B/I/2/",-1
"1-13-001","IFO_1A/B/I/3/",1
"1-13-002","IFO_1A/B/I/3/",-1
"1-13-003","IFO_1A/B/I/3/",1
"1-13-004","IFO_1A/B/I/3/",-1
