"HS07","CODUL3000","DESUL3000"
"HS030211","UL030200","Pesci freschi o refrigerati"
"HS030212","UL030200","Pesci freschi o refrigerati"
"HS030219","UL030200","Pesci freschi o refrigerati"
"HS030221","UL030200","Pesci freschi o refrigerati"
"HS030222","UL030200","Pesci freschi o refrigerati"
"HS030223","UL030200","Pesci freschi o refrigerati"
"HS030229","UL030200","Pesci freschi o refrigerati"
"HS030231","UL030200","Pesci freschi o refrigerati"
"HS030232","UL030200","Pesci freschi o refrigerati"
"HS030233","UL030200","Pesci freschi o refrigerati"
"HS030234","UL030200","Pesci freschi o refrigerati"
"HS030235","UL030200","Pesci freschi o refrigerati"
"HS030236","UL030200","Pesci freschi o refrigerati"
"HS030239","UL030200","Pesci freschi o refrigerati"
"HS030240","UL030200","Pesci freschi o refrigerati"
"HS030250","UL030200","Pesci freschi o refrigerati"
"HS030261","UL030200","Pesci freschi o refrigerati"
"HS030262","UL030200","Pesci freschi o refrigerati"
"HS030263","UL030200","Pesci freschi o refrigerati"
"HS030264","UL030200","Pesci freschi o refrigerati"
"HS030265","UL030200","Pesci freschi o refrigerati"
"HS030266","UL030200","Pesci freschi o refrigerati"
"HS030267","UL030200","Pesci freschi o refrigerati"
"HS030268","UL030200","Pesci freschi o refrigerati"
"HS030269","UL030200","Pesci freschi o refrigerati"
"HS030311","UL030300","Pesce congelato"
"HS030319","UL030300","Pesce congelato"
"HS030321","UL030300","Pesce congelato"
"HS030322","UL030300","Pesce congelato"
"HS030329","UL030300","Pesce congelato"
"HS030331","UL030300","Pesce congelato"
"HS030332","UL030300","Pesce congelato"
"HS030333","UL030300","Pesce congelato"
"HS030339","UL030300","Pesce congelato"
"HS030341","UL030300","Pesce congelato"
"HS030342","UL030300","Pesce congelato"
"HS030343","UL030300","Pesce congelato"
"HS030344","UL030300","Pesce congelato"
"HS030345","UL030300","Pesce congelato"
"HS030346","UL030300","Pesce congelato"
"HS030349","UL030300","Pesce congelato"
"HS030351","UL030300","Pesce congelato"
"HS030352","UL030300","Pesce congelato"
"HS030361","UL030300","Pesce congelato"
"HS030362","UL030300","Pesce congelato"
"HS030371","UL030300","Pesce congelato"
"HS030372","UL030300","Pesce congelato"
"HS030373","UL030300","Pesce congelato"
"HS030374","UL030300","Pesce congelato"
"HS030375","UL030300","Pesce congelato"
"HS030376","UL030300","Pesce congelato"
"HS030377","UL030300","Pesce congelato"
"HS030378","UL030300","Pesce congelato"
"HS030379","UL030300","Pesce congelato"
"HS020410","UL0204A0","Carni ovine, fresche o refrigerate"
"HS020421","UL0204A0","Carni ovine, fresche o refrigerate"
"HS020422","UL0204A0","Carni ovine, fresche o refrigerate"
"HS020423","UL0204A0","Carni ovine, fresche o refrigerate"
