"HS07","HS92","UMS"
"HS010110","010111","Number: in units"
"HS010190","010119","Number: in units"
"HS010210","010210","Number: in units"
"HS010290","010290","Number: in units"
"HS010310","010310","Number: in units"
"HS010391","010391","Number: in units"
"HS010392","010392","Number: in units"
"HS010410","010410","Number: in units"
"HS010420","010420","Number: in units"
"HS010511","010511","Number: in units"
"HS010512","010519","Number: in units"
"HS010519","010519","Number: in units"
"HS010594","010591","Number: in units"
"HS010599","010599","Number: in units"
"HS010611","010600","Number: in units"
"HS010612","010600","Number: in units"
"HS010619","010600","Number: in units"
"HS010620","010600","Number: in units"
"HS010631","010600","Number: in units"
"HS010632","010600","Number: in units"
"HS010639","010600","Number: in units"
"HS010690","010600","Number: in units"
"HS020110","020110","Kg"
"HS020120","020120","Kg"
"HS020130","020130","Kg"
"HS020210","020210","Kg"
"HS020220","020220","Kg"
"HS020230","020230","Kg"
"HS020311","020311","Kg"
"HS020312","020312","Kg"
"HS020319","020319","Kg"
"HS020321","020321","Kg"
"HS020322","020322","Kg"
"HS020329","020329","Kg"
"HS020410","020410","Kg"
"HS020421","020421","Kg"
"HS020422","020422","Kg"
"HS020423","020423","Kg"
"HS020430","020430","Kg"
"HS020441","020441","Kg"
"HS020442","020442","Kg"
"HS020443","020443","Kg"
"HS020450","020450","Kg"
"HS020500","020500","Kg"
"HS020610","020610","Kg"
"HS020621","020621","Kg"
"HS020622","020622","Kg"
"HS020629","020629","Kg"
"HS020630","020630","Kg"
"HS020641","020641","Kg"
"HS020649","020649","Kg"
"HS020680","020680","Kg"
"HS020690","020690","Kg"
"HS020711","020710","Kg"
"HS020712","020721","Kg"
"HS020713","020739","Kg"
"HS020714","020741","Kg"
"HS020724","020710","Kg"
"HS020725","020722","Kg"
"HS020726","020739","Kg"
"HS020727","020742","Kg"
"HS020732","020710","Kg"
"HS020733","020723","Kg"
"HS020734","020731","Kg"
"HS020735","020739","Kg"
"HS020736","020743","Kg"
"HS020810","020810","Kg"
"HS020830","020890","Kg"
"HS020840","020890","Kg"
"HS020850","020890","Kg"
"HS020890","020890","Kg"
"HS020900","020900","Kg"
"HS021011","021011","Kg"
"HS021012","021012","Kg"
"HS021019","021019","Kg"
"HS021020","021020","Kg"
"HS021091","021090","Kg"
"HS021092","021090","Kg"
"HS021093","021090","Kg"
"HS021099","021090","Kg"
"HS030110","030110","Kg"
"HS030191","030191","Kg"
"HS030192","030192","Kg"
"HS030193","030193","Kg"
"HS030194","030199","Kg"
"HS030195","030199","Kg"
"HS030199","030199","Kg"
"HS030211","030211","Kg"
"HS030212","030212","Kg"
"HS030219","030219","Kg"
"HS030221","030221","Kg"
"HS030222","030222","Kg"
"HS030223","030223","Kg"
"HS030229","030229","Kg"
"HS030231","030231","Kg"
"HS030232","030232","Kg"
"HS030233","030233","Kg"
"HS030234","030239","Kg"
"HS030235","030239","Kg"
"HS030236","030239","Kg"
"HS030239","030239","Kg"
"HS030240","030240","Kg"
"HS030250","030250","Kg"
"HS030261","030261","Kg"
"HS030262","030262","Kg"
"HS030263","030263","Kg"
"HS030264","030264","Kg"
"HS030265","030265","Kg"
"HS030266","030266","Kg"
"HS030267","030269","Kg"
"HS030268","030269","Kg"
"HS030269","030269","Kg"
"HS030270","030270","Kg"
"HS030311","030310","Kg"
"HS030319","030310","Kg"
"HS030321","030321","Kg"
"HS030322","030322","Kg"
"HS030329","030329","Kg"
"HS030331","030331","Kg"
"HS030332","030332","Kg"
"HS030333","030333","Kg"
"HS030339","030339","Kg"
"HS030341","030341","Kg"
"HS030342","030342","Kg"
"HS030343","030343","Kg"
"HS030344","030349","Kg"
"HS030345","030349","Kg"
"HS030346","030349","Kg"
"HS030349","030349","Kg"
"HS030351","030350","Kg"
"HS030352","030360","Kg"
"HS030361","030379","Kg"
"HS030362","030379","Kg"
"HS030371","030371","Kg"
"HS030372","030372","Kg"
"HS030373","030373","Kg"
"HS030374","030374","Kg"
"HS030375","030375","Kg"
"HS030376","030376","Kg"
"HS030377","030377","Kg"
"HS030378","030378","Kg"
"HS030379","030379","Kg"
"HS030380","030380","Kg"
"HS030411","030410","Kg"
"HS030412","030410","Kg"
"HS030419","030410","Kg"
"HS030421","030420","Kg"
"HS030422","030420","Kg"
"HS030429","030420","Kg"
"HS030491","030490","Kg"
"HS030492","030490","Kg"
"HS030499","030490","Kg"
"HS030510","030510","Kg"
"HS030520","030520","Kg"
"HS030530","030530","Kg"
"HS030541","030541","Kg"
"HS030542","030542","Kg"
"HS030549","030549","Kg"
"HS030551","030551","Kg"
"HS030559","030559","Kg"
"HS030561","030561","Kg"
"HS030562","030562","Kg"
"HS030563","030563","Kg"
"HS030569","030569","Kg"
"HS030611","030611","Kg"
"HS030612","030612","Kg"
"HS030613","030613","Kg"
"HS030614","030614","Kg"
"HS030619","030619","Kg"
"HS030621","030621","Kg"
"HS030622","030622","Kg"
"HS030623","030623","Kg"
"HS030624","030624","Kg"
"HS030629","030629","Kg"
"HS030710","030710","Kg"
"HS030721","030721","Kg"
"HS030729","030729","Kg"
"HS030731","030731","Kg"
"HS030739","030739","Kg"
"HS030741","030741","Kg"
"HS030749","030749","Kg"
"HS030751","030751","Kg"
"HS030759","030759","Kg"
"HS030760","030760","Kg"
"HS030791","030791","Kg"
"HS030799","030799","Kg"
"HS040110","040110","Kg"
"HS040120","040120","Kg"
"HS040130","040130","Kg"
"HS040210","040210","Kg"
"HS040221","040221","Kg"
"HS040229","040229","Kg"
"HS040291","040291","Kg"
"HS040299","040299","Kg"
"HS040310","040310","Kg"
"HS040390","040390","Kg"
"HS040410","040410","Kg"
"HS040490","040490","Kg"
"HS040510","040500","Kg"
"HS040520","040500","Kg"
"HS040590","040500","Kg"
"HS040610","040610","Kg"
"HS040620","040620","Kg"
"HS040630","040630","Kg"
"HS040640","040640","Kg"
"HS040690","040690","Kg"
"HS040700","040700","Number: in units"
"HS040811","040811","Kg"
"HS040819","040819","Kg"
"HS040891","040891","Kg"
"HS040899","040899","Kg"
"HS040900","040900","Kg"
"HS041000","041000","Kg"
"HS050100","050100","Kg"
"HS050210","050210","Kg"
"HS050290","050290","Kg"
"HS050400","050400","Kg"
"HS050510","050510","Kg"
"HS050590","050590","Kg"
"HS050610","050610","Kg"
"HS050690","050690","Kg"
"HS050710","050710","Kg"
"HS050790","050790","Kg"
"HS050800","050800","Kg"
"HS051000","051000","Kg"
"HS051110","051110","Kg"
"HS051191","051191","Kg"
"HS051199","051199","Kg"
"HS060110","060110","Number: in units"
"HS060120","060120","Kg"
"HS060210","060210","Number: in units"
"HS060220","060220","Kg"
"HS060230","060230","Kg"
"HS060240","060240","Number: in units"
"HS060290","060299","Kg"
"HS060311","060310","Kg"
"HS060312","060310","Kg"
"HS060313","060310","Kg"
"HS060314","060310","Kg"
"HS060319","060310","Kg"
"HS060390","060390","Kg"
"HS060410","060410","Kg"
"HS060491","060491","Kg"
"HS060499","060499","Kg"
"HS070110","070110","Kg"
"HS070190","070190","Kg"
"HS070200","070200","Kg"
"HS070310","070310","Kg"
"HS070320","070320","Kg"
"HS070390","070390","Kg"
"HS070410","070410","Kg"
"HS070420","070420","Kg"
"HS070490","070490","Kg"
"HS070511","070511","Kg"
"HS070519","070519","Kg"
"HS070521","070521","Kg"
"HS070529","070529","Kg"
"HS070610","070610","Kg"
"HS070690","070690","Kg"
"HS070700","070700","Kg"
"HS070810","070810","Kg"
"HS070820","070820","Kg"
"HS070890","070890","Kg"
"HS070920","070920","Kg"
"HS070930","070930","Kg"
"HS070940","070940","Kg"
"HS070951","070951","Kg"
"HS070959","070952","Kg"
"HS070960","070960","Kg"
"HS070970","070970","Kg"
"HS070990","070990","Kg"
"HS071010","071010","Kg"
"HS071021","071021","Kg"
"HS071022","071022","Kg"
"HS071029","071029","Kg"
"HS071030","071030","Kg"
"HS071040","071040","Kg"
"HS071080","071080","Kg"
"HS071090","071090","Kg"
"HS071120","071120","Kg"
"HS071140","071140","Kg"
"HS071151","071190","Kg"
"HS071159","071190","Kg"
"HS071190","071190","Kg"
"HS071220","071220","Kg"
"HS071231","071230","Kg"
"HS071232","071230","Kg"
"HS071233","071230","Kg"
"HS071239","071230","Kg"
"HS071290","071290","Kg"
"HS071310","071310","Kg"
"HS071320","071320","Kg"
"HS071331","071331","Kg"
"HS071332","071332","Kg"
"HS071333","071333","Kg"
"HS071339","071339","Kg"
"HS071340","071340","Kg"
"HS071350","071350","Kg"
"HS071390","071390","Kg"
"HS071410","071410","Kg"
"HS071420","071420","Kg"
