"servabit_code";"entrata_code";"uscita_code"
"1-01-001";"2F5";"5F3"
"1-01-002";"2F5";"5F3"
"1-11-001";"2F9";"4F"
"1-11-002";"2F9";"5F3"
"1-11-003";"2F9";"4F"
"1-11-004";"2F9";"5F3"
"1-12-001";"2F9";"4F"
"1-12-002";"2F9";"5F3"
"1-12-003";"2F9";"4F"
"1-12-004";"2F9";"5F3"
"1-12-005";"2F9";"4F"
"1-12-006";"2F9";"5F3"
"1-13-001";"2F9";"4F"
"1-13-002";"2F9";"5F3"
"1-13-003";"2F9";"4F  "
"1-13-004";"2F9";"5F3"
"1-13-005";"2F9";"4F"
"1-13-006";"2F9";"5F3"
"1-13-007";"2F9";"4F"
"1-13-008";"2F9";"5F3"
"1-13-009";"2F9";"4F"
"1-13-010";"2F9";"5F3"
"1-14-001";"2F9";"4F"
"1-14-002";"2F9";"5F3"
"1-14-003";"2F9";"4F"
"1-14-004";"2F9";"5F3"
"1-14-005";"2F9";"4F"
"1-14-006";"2F9";"5F3"
"1-14-007";"2F9";"4F"
"1-14-008";"2F9";"5F3"
"1-14-009";"2F9";"4F"
"1-14-010";"2F9";"5F3"
"1-14-011";"2F9";"4F"
"1-14-012";"2F9";"5F3"
"1-14-013";"2F9";"4F"
"1-14-014";"2F9";"5F3"
"1-15-001";"2F9";"4F"
"1-15-002";"2F9";"5F3"
"1-16-001";"2F9";"4F"
"1-16-002";"2F9";"4F"
"1-16-003";"2F9";"4F"
"1-17-001";"2F9";"4F"
"1-17-002";"2F9";"5F3"
"1-17-003";"2F9";"4F"
"1-17-004";"2F9";"5F3"
"1-17-005";"2F9";"4F"
"1-17-006";"2F9";"5F3"
"1-21-001";"2F9";"4F"
"1-21-002";"2F9";"5F3"
"1-21-003";"2F9";"5F3"
"1-21-004";"2F9";"4F"
"1-21-005";"2F9";"5F3"
"1-21-006";"2F9";"5F3"
"1-22-001";"2F9";"4F"
"1-22-002";"2F9";"5F3"
"1-22-003";"2F9";"5F3"
"1-22-004";"2F9";"4F"
"1-22-005";"2F9";"5F3"
"1-22-006";"2F9";"5F3"
"1-23-001";"2F9";"4F"
"1-23-002";"2F9";"5F3"
"1-23-003";"2F9";"5F3"
"1-23-004";"2F9";"4F"
"1-23-005";"2F9";"5F3"
"1-23-006";"2F9";"5F3"
"1-24-001";"2F9";"4F"
"1-24-002";"2F9";"5F3"
"1-24-003";"2F9";"5F3"
"1-24-004";"2F9";"4F"
"1-24-005";"2F9";"5F3"
"1-24-006";"2F9";"5F3"
"1-24-007";"2F9";"4F"
"1-24-008";"2F9";"5F3"
"1-24-009";"2F9";"5F3"
"1-24-010";"2F9";"4F"
"1-24-011";"2F9";"5F3"
"1-24-012";"2F9";"5F3"
"1-24-013";"2F9";"4F"
"1-24-014";"2F9";"5F3"
"1-24-015";"2F9";"5F3"
"1-24-016";"2F9";"4F"
"1-24-017";"2F9";"5F3"
"1-24-018";"2F9";"5F3"
"1-25-001";"2F9";"4F"
"1-25-002";"2F9";"4F"
"1-31-001";"2F9";"5F1"
"1-31-002";"2F9";"5F3"
"1-31-003";"2F9";"5F1"
"1-31-004";"2F9";"5F3"
"1-31-005";"2F9";"5F1"
"1-31-006";"2F9";"5F3"
"1-31-007";"2F9";"5F1"
"1-31-008";"2F9";"5F3"
"1-35-001";"2F9";"5F1"
"1-35-002";"2F9";"5F3"
"1-35-003";"2F9";"5F1"
"1-35-004";"2F9";"5F3"
"1-35-005";"2F9";"5F1"
"1-35-006";"2F9";"5F3"
"1-35-007";"2F9";"5F3"
"1-35-008";"2F9";"5F3"
"1-35-009";"2F9";"3F5"
"1-35-010";"2F9";"5F1"
"1-35-011";"2F9";"3F5"
"1-35-012";"2F9";"5F3"
"1-43-001";"2F9";"5F1"
"1-44-001";"2F9";"5F2"
"1-51-001";"2F9";"5F3"
"1-52-001";"2F9";"5F3"
"1-53-001";"2F9";"5F3"
"1-54-001";"2F9";"5F3"
"1-55-001";"2F9";"3F5"
"1-62-001";"2F9";"5F3"
"1-62-002";"2F9";"5F3"
"1-62-003";"2F9";"5F3"
"1-62-004";"2F9";"5F3"
"1-62-005";"2F9";"5F3"
"1-62-006";"2F9";"5F3"
"1-62-007";"1F";"5F3"
"1-62-008";"2F9";"5F3"
"1-62-009";"2F9";"5F3"
"1-62-010";"1F";"5F3"
"1-62-011";"2F9";"5F3"
"1-62-012";"2F9";"5F3"
"1-62-013";"1F";"5F3"
"1-62-014";"2F8";"5F3"
"1-62-015";"2F9";"5F3"
"1-62-016";"2F9";"5F3"
"1-64-001";"2F9";"5F1"
"1-64-002";"2F9";"5F3"
"1-64-003";"2F9";"5F1"
"1-64-004";"2F9";"5F1"
"1-64-005";"2F9";"5F3"
"1-64-006";"2F9";"5F1"
"1-64-007";"2F9";"5F1"
"1-64-008";"2F9";"5F3"
"1-64-009";"2F9";"5F1 "
"1-70-001";"2F9";"3F5"
"1-70-002";"2F9";"3F5"
"1-70-003";"2F9";"3F5"
"1-70-004";"2F9";"3F5"
"1-70-005";"2F9";"3F5"
"1-70-006";"2F9";"5F3"
"1-70-007";"2F9";"5F3"
"1-70-008";"2F9";"5F3"
"1-70-009";"2F9";"5F3"
"1-70-010";"2F9";"5F3"
"1-70-011";"2F9";"5F3"
"1-70-012";"2F9";"5F3"
"1-70-013";"2F9";"5F3"
"1-72-001";"2F9";"5F3"
"1-72-002";"2F9";"5F3"
"1-74-002";"2F9";"5F1"
"1-74-003";"2F9";"5F3"
"1-74-004";"2F9";"5F3"
"1-74-005";"2F9";"5F3"
"1-74-006";"2F9";"5F3"
"1-74-007";"2F9";"5F3"
"1-74-008";"2F9";"5F3"
"1-74-009";"2F9";"5F3"
"1-74-010";"2F9";"5F3"
"1-74-011";"2F9";"5F3"
"1-74-012";"2F9";"5F3"
"1-75-001";"2F9";"5F1"
"1-75-002";"2F9";"5F3"
"1-75-003";"2F9";"5F1"
"1-75-004";"2F9";"5F3"
"1-75-005";"2F9";"5F1"
"1-75-006";"2F9";"5F3"
"1-75-007";"2F9";"5F1"
"1-75-008";"2F9";"5F3"
"1-75-009";"2F9";"5F2"
"1-75-010";"2F9";"5F3"
"1-81-001";"2F9";"5F3"
"1-81-002";"2F9";"5F3"
"1-82-001";"2F9";"5F3"
"1-83-001";"2F9";"5F3"
"1-83-002";"2F9";"5F3"
"1-83-003";"2F9";"5F3"
"1-91-001";"2F9";"5F3"
"1-91-002";"2F9";"5F3"
"1-92-001";"2F9";"5F3"
"2-01-001";"2F9";"5F3"
"2-02-001";"2F9";"5F3"
"2-04-001";"2F9";"5F3"
"2-04-002";"2F9";"5F3"
"2-04-003";"2F9";"5F3"
"2-05-004";"2F9";"5F3"
"2-05-001";"2F9";"5F3"
"2-05-002";"2F9";"5F3"
"2-05-003";"2F9";"5F3"
"2-06-001";"2F9";"5F3"
"2-06-002";"2F9";"5F3"
"2-06-003";"2F9";"5F3"
"2-06-004";"2F9";"5F3"
"2-11-001";"2F9";"5F3"
"2-11-002";"2F9";"5F3"
"2-12-001";"2F9";"5F3"
"2-12-002";"2F9";"5F3"
"2-13-001";"2F9";"5F3"
"2-13-002";"2F9";"5F3"
"2-13-003";"2F9";"5F3"
"2-13-004";"2F9";"5F3"
"2-16-001";"2F9";"5F3"
"2-21-001";"2F9";"5F3"
"2-22-001";"2F9";"5F3"
"2-24-001";"2F4";"5F3"
"2-24-002";"2F4";"5F3"
"2-24-003";"2F9";"5F3"
"2-26-002";"2F2";"5F3"
"2-26-003";"2F9";"5F3"
"2-26-004";"2F9";"5F3"
"2-26-005";"2F9";"5F3"
"2-26-006";"2F9";"5F3"
"2-26-007";"2F9";"5F3"
"2-28-001";"2F9";"5F3"
"2-28-002";"2F9";"5F3"
"2-28-003";"2F9";"5F3"
"2-29-001";"2F9";"5F3"
"2-29-003";"2F9";"5F3"
"2-31-001";"2F9";"5F3"
"2-31-002";"2F9";"5F3"
"2-31-003";"2F9";"5F3"
"2-31-004";"2F9";"5F3"
"2-33-001";"2F9";"5F3"
"2-33-002";"2F9";"5F3"
"2-35-001";"2F9";"5F3"
"2-35-002";"2F9";"5F3"
"2-35-003";"2F9";"5F3"
"2-35-004";"2F9";"5F3"
"2-35-005";"2F9";"5F3"
"2-35-006";"2F9";"5F3"
"2-35-007";"2F9";"5F3"
"2-35-008";"2F9";"5F3"
"2-35-009";"2F9";"5F3"
"2-35-010";"2F9";"5F3"
"2-35-011";"2F9";"5F3"
"2-35-012";"2F9";"5F3"
"2-35-013";"2F9";"5F3"
"2-35-014";"2F9";"5F3"
"2-35-015";"2F9";"5F3"
"2-41-001";"2F9";"5F3"
"2-41-002";"2F9";"5F3"
"2-41-003";"2F9";"5F3"
"2-41-004";"2F9";"3F4"
"2-41-005";"2F9";"5F3"
"2-41-006";"2F9";"5F3"
"2-41-007";"2F9";"5F3"
"2-41-008";"2F9";"3F2"
"2-41-009";"2F9";"3F2"
"2-43-001";"2F9";"3F4"
"2-43-002";"2F9";"3F4"
"2-43-003";"2F9";"3F4"
"2-43-004";"2F9";"5F3"
"2-45-001";"2F9";"5F3"
"2-45-002";"2F9";"5F3"
"2-45-003";"2F8";"5F3"
"2-45-004";"2F8";"5F3"
"2-45-005";"2F9";"5F3"
"2-45-006";"2F9";"5F3"
"2-45-007";"2F9";"3F4"
"2-45-008";"2F9";"5F3"
"2-45-009";"2F9";"5F3"
"2-45-010";"2F9";"3F4"
"2-45-011";"2F9";"5F3"
"2-45-012";"2F9";"5F3"
"2-45-013";"2F9";"3F2"
"2-45-014";"2F9";"5F3"
"2-51-001";"2F9";"5F3"
"2-51-002";"2F9";"5F3"
"2-52-002";"2F9";"5F3"
"3-01-001";"2F9";"5F3"
"3-01-002";"2F9";"3F1"
"3-01-003";"2F9";"3F1"
"3-01-004";"2F9";"3F1"
"3-01-005";"2F9";"3F5"
"3-01-006";"2F9";"5F3"
"3-02-001";"2F9";"3F1"
"3-02-002";"2F9";"3F1"
"3-02-003";"2F9";"3F1"
"3-02-004";"2F9";"3F1"
"3-02-005";"2F9";"3F1"
"3-02-006";"2F9";"3F1"
"3-02-007";"2F9";"3F1"
"3-02-008";"2F9";"3F1"
"3-02-009";"2F9";"3F1"
"3-02-010";"2F9";"3F1"
"3-02-011";"2F9";"3F1"
"3-03-001";"2F9";"3F2"
"3-03-002";"2F9";"3F2"
"3-03-003";"2F9";"3F2"
"3-03-004";"2F9";"3F2"
"3-03-005";"2F9";"3F2"
"3-03-006";"2F9";"3F2"
"3-03-007";"2F9";"3F2"
"3-03-008";"2F9";"3F2"
"3-03-009";"2F9";"3F2"
"3-03-010";"2F9";"5F3"
"3-03-011";"2F9";"5F3"
"3-03-012";"2F9";"3F2"
"3-03-013";"2F9";"5F3"
"3-03-014";"2F9";"3F2"
"3-03-015";"2F9";"3F2"
"3-03-016";"2F9";"3F1"
"3-03-017";"2F9";"3F2"
"3-03-018";"2F9";"3F2"
"3-03-019";"2F9";"3F2"
"3-03-020";"2F9";"3F4"
"3-03-021";"2F9";"3F4"
"3-03-022";"2F9";"3F4"
"3-03-023";"2F9";"3F5"
"3-03-024";"2F9";"3F5"
"3-03-026";"2F9";"3F2"
"3-03-027";"2F9";"3F2"
"3-03-028";"2F9";"3F2"
"3-03-029";"2F9";"3F2"
"3-03-030";"2F9";"3F2"
"3-03-031";"2F9";"3F2"
"3-03-032";"2F9";"3F2"
"3-03-033";"2F9";"3F2"
"3-03-034";"2F9";"3F2"
"3-03-035";"2F9";"3F2"
"3-03-036";"2F9";"3F2"
"3-03-037";"2F9";"3F2"
"3-03-038";"2F9";"3F2"
"3-03-039";"2F9";"3F2"
"3-03-040";"2F9";"3F2"
"3-03-041";"2F9";"3F2"
"3-03-042";"2F9";"3F2"
"3-03-043";"2F9";"3F2"
"3-03-044";"2F9";"3F2"
"3-03-045";"2F9";"3F2"
"3-03-046";"2F9";"3F2"
"3-03-047";"2F9";"3F2"
"3-03-048";"2F9";"3F2"
"3-03-050";"2F9";"3F2"
"3-03-060";"2F9";"3F2"
"3-03-061";"2F9";"3F2"
"3-03-062";"2F9";"3F2"
"3-03-065";"2F9";"3F1"
"3-07-001";"2F9";"3F3"
"3-07-002";"2F9";"3F3"
"3-07-003";"2F9";"3F3"
"3-07-004";"2F9";"3F3"
"3-07-005";"2F9";"3F3"
"3-07-006";"2F9";"3F3"
"3-07-007";"2F9";"3F5"
"3-07-008";"2F9";"3F3"
"3-07-009";"2F9";"3F3"
"3-07-010";"2F9";"3F2"
"3-10-001";"2F9";"3F4"
"3-11-001";"2F9";"3F5"
"3-11-002";"2F9";"3F5"
"3-11-003";"2F9";"3F5"
"3-12-001";"2F9";"3F5"
"3-13-001";"2F9";"3F5"
"3-13-002";"2F9";"3F5"
"3-13-003";"2F9";"3F5"
"3-14-001";"2F9";"3F5"
"3-14-002";"2F9";"3F5"
"3-15-001";"2F9";"5F3"
"3-15-002";"2F9";"5F3"
"3-15-003";"2F9";"5F3"
"3-15-004";"2F9";"5F3"
"3-15-005";"2F9";"5F3"
"3-15-006";"2F9";"5F3"
"3-15-007";"2F9";"5F3"
"3-15-008";"2F9";"5F3"
"3-15-009";"2F9";"5F3"
"3-15-010";"2F9";"5F3"
"3-15-011";"2F9";"5F3"
"3-15-012";"2F9";"5F3"
"3-15-013";"2F9";"5F3"
"3-15-014";"2F9";"5F3"
"3-15-015";"2F9";"5F3"
"3-15-016";"2F9";"5F3"
"3-15-017";"2F9";"5F3"
"3-15-018";"2F9";"5F3"
"3-15-019";"2F9";"5F3"
"3-15-020";"2F9";"5F3"
"3-15-021";"2F9";"5F3"
"3-16-001";"2F9";"5F3"
"3-16-002";"2F9";"5F3"
"3-16-003";"2F9";"5F3"
"3-16-004";"2F9";"5F3"
"3-16-005";"2F9";"5F3"
"3-16-006";"2F9";"5F3"
"3-16-007";"2F9";"5F3"
"3-16-008";"2F9";"5F3"
"3-16-009";"2F9";"5F3"
"3-16-010";"2F9";"5F3"
"3-16-011";"2F9";"5F3"
"3-16-012";"2F9";"5F3"
"3-17-001";"2F9";"5F3"
"3-18-001";"2F9";"5F3"
"3-18-002";"2F9";"5F3"
"3-18-003";"2F9";"5F3"
"3-19-001";"2F9";"5F3"
"3-19-002";"2F9";"5F3"
"3-19-003";"2F9";"5F3"
"3-19-004";"2F9";"5F3"
"3-19-005";"2F9";"5F3"
"3-21-001";"2F9";"5F3"
"3-21-002";"2F9";"5F3"
"3-21-003";"2F9";"5F3"
"3-22-001";"2F9";"5F3"
"3-24-001";"2F9";"3F5"
"3-24-002";"2F9";"3F5"
"3-24-003";"2F9";"3F5"
"3-24-004";"2F9";"3F5"
"3-24-005";"2F9";"3F5"
"3-24-006";"2F9";"3F5"
"3-24-007";"2F9";"5F3"
"3-24-008";"2F9";"3F5"
"3-24-009";"2F9";"3F5"
"3-24-010";"2F9";"5F3"
"3-24-011";"2F9";"3F5"
"3-24-012";"2F9";"3F5"
"3-24-013";"2F9";"3F5"
"3-24-014";"2F9";"3F5"
"3-24-015";"2F9";"3F5"
"3-24-016";"2F9";"3F5"
"3-24-017";"2F9";"3F5"
"3-24-018";"2F9";"3F5"
"3-24-019";"2F9";"3F5"
"3-24-020";"2F9";"3F5"
"3-31-001";"2F9";"3F5"
"3-31-002";"2F9";"5F3"
"3-31-003";"2F9";"5F3"
"3-31-004";"2F9";"5F3"
"3-31-005";"2F9";"3F5"
"3-32-001";"2F9";"5F3"
"3-41-001";"2F9";"5F3"
"3-41-002";"2F9";"5F3"
"3-41-003";"2F9";"5F3"
"3-42-001";"2F9";"5F3"
"3-51-001";"2F9";"5F3"
"3-52-001";"2F9";"5F3"
"3-52-002";"2F9";"5F3"
"3-52-003";"2F9";"5F3"
"3-53-001";"2F9";"5F3"
"3-53-002";"2F9";"5F3"
"3-53-003";"2F9";"5F3"
"3-61-001";"2F9";"3F5"
"3-61-002";"2F9";"3F5"
"3-61-003";"2F9";"3F5"
"3-62-001";"2F9";"5F3"
"3-62-002";"2F9";"3F5"
"3-62-003";"2F9";"3F5"
"4-01-001";"1F";"5F3"
"4-01-002";"1F";"5F3"
"4-01-007";"2F9";"5F3"
"4-01-008";"2F9";"5F3"
"4-01-009";"2F9";"5F3"
"4-03-001";"1F";"5F3"
"4-03-002";"2F8";"5F3"
"4-03-003";"2F8";"5F3"
"4-03-004";"1F";"5F3"
"4-04-001";"2F9";"5F3"
"4-04-002";"2F9";"5F3"
"4-04-003";"2F9";"5F3"
"4-04-004";"2F9";"5F3"
