"servabit_code","cee_code"
"1-81-001","IFA_1A/C/IV/"
"1-81-002","IFA_1A/C/IV/"
"1-82-001","IFA_1A/C/IV/"
"1-83-001","IFA_1A/C/IV/"
"1-83-002","IFA_1A/C/IV/"
"1-83-003","IFA_1A/C/IV/"
"1-62-010","IFA_1A/C/II/"
"1-62-016","IFA_1A/C/II/"
"2-28-001","IFA_2P/D/"
"2-28-002","IFA_2P/D/"
"2-28-003","IFA_2P/D/"
"2-29-001","IFA_2P/D/"
"2-29-003","IFA_2P/D/"
"2-31-001","IFA_2P/D/"
"2-31-002","IFA_2P/D/"
"2-31-003","IFA_2P/D/"
"2-31-004","IFA_2P/D/"
"2-35-008","IFA_2P/D/"
"2-35-013","IFA_2P/D/"
"2-41-004","IFA_2P/D/"
"2-41-005","IFA_2P/D/"
"2-41-006","IFA_2P/D/"
"2-43-001","IFA_2P/D/"
"2-43-002","IFA_2P/D/"
"2-43-003","IFA_2P/D/"
"2-45-002","IFA_2P/D/"
"2-45-006","IFA_2P/D/"
"2-45-010","IFA_2P/D/"
"2-45-014","IFA_2P/D/"
"1-62-001","IFA_1A/C/II/"
"1-62-002","IFA_1A/C/II/"
"1-62-003","IFA_1A/C/II/"
"1-62-004","IFA_1A/C/II/"
"1-62-012","IFA_1A/C/II/"
"1-62-013","IFA_1A/C/II/"
"1-62-014","IFA_1A/C/II/"
"1-64-001","IFA_1A/C/II/"
"1-64-003","IFA_1A/C/II/"
"1-64-004","IFA_1A/C/II/"
"1-64-006","IFA_1A/C/II/"
"1-64-007","IFA_1A/C/II/"
"1-64-009","IFA_1A/C/II/"
"1-01-001","IFA_1A/A/a/"
"1-01-002","IFA_1A/A/b/"
"1-11-001","IFA_1A/B/I/8/"
"1-11-002","IFA_1A/B/I/9/"
"1-11-003","IFA_1A/B/I/8/"
"1-11-004","IFA_1A/B/I/9/"
"1-12-001","IFA_1A/B/I/8/"
"1-12-002","IFA_1A/B/I/9/"
"1-12-003","IFA_1A/B/I/8/"
"1-12-004","IFA_1A/B/I/9/"
"1-12-005","IFA_1A/B/I/8/"
"1-12-006","IFA_1A/B/I/9/"
"1-13-001","IFA_1A/B/I/8/"
"1-13-002","IFA_1A/B/I/9/"
"1-13-003","IFA_1A/B/I/8/"
"1-13-004","IFA_1A/B/I/9/"
"1-13-005","IFA_1A/B/I/8/"
"1-13-006","IFA_1A/B/I/9/"
"1-13-007","IFA_1A/B/I/8/"
"1-13-008","IFA_1A/B/I/9/"
"1-13-009","IFA_1A/B/I/8/"
"1-13-010","IFA_1A/B/I/9/"
"1-14-001","IFA_1A/B/I/8/"
"1-14-002","IFA_1A/B/I/9/"
"1-14-003","IFA_1A/B/I/8/"
"1-14-004","IFA_1A/B/I/9/"
"1-14-005","IFA_1A/B/I/8/"
"1-14-006","IFA_1A/B/I/9/"
"1-14-007","IFA_1A/B/I/8/"
"1-14-008","IFA_1A/B/I/9/"
"1-14-009","IFA_1A/B/I/8/"
"1-14-010","IFA_1A/B/I/9/"
"1-14-011","IFA_1A/B/I/8/"
"1-14-012","IFA_1A/B/I/9/"
"1-14-013","IFA_1A/B/I/8/"
"1-14-014","IFA_1A/B/I/9/"
"1-15-001","IFA_1A/B/I/8/"
"1-15-002","IFA_1A/B/I/9/"
"1-16-001","IFA_1A/B/I/8/"
"1-16-002","IFA_1A/B/I/8/"
"1-16-003","IFA_1A/B/I/8/"
"1-17-001","IFA_1A/B/I/8/"
"1-17-002","IFA_1A/B/I/9/"
"1-17-003","IFA_1A/B/I/8/"
"1-17-004","IFA_1A/B/I/9/"
"1-17-005","IFA_1A/B/I/8/"
"1-17-006","IFA_1A/B/I/9/"
"1-21-001","IFA_1A/B/II/6/"
"1-21-002","IFA_1A/B/II/7/"
"1-21-003","IFA_1A/B/II/8/"
"1-21-004","IFA_1A/B/II/6/"
"1-21-005","IFA_1A/B/II/7/"
"1-21-006","IFA_1A/B/II/8/"
"1-22-001","IFA_1A/B/II/6/"
"1-22-002","IFA_1A/B/II/7/"
"1-22-003","IFA_1A/B/II/8/"
"1-22-004","IFA_1A/B/II/6/"
"1-22-005","IFA_1A/B/II/7/"
