"HS07","HS4D","SETTORE","INDUSTRY","UL3000","UL1000","UL200","UL20","ATECO3D"
"HS010110",101,"A00S0120","A00","UL010100","UL01.A0.0","A1.51","A1",14
"HS010190",101,"A00S0120","A00","UL010100","UL01.A0.0","A1.51","A1",14
"HS010210",102,"A00S0120","A00","UL010200","UL01.A0.0","A1.51","A1",14
"HS010290",102,"A00S0120","A00","UL010200","UL01.A0.0","A1.51","A1",14
"HS010310",103,"A00S0120","A00","UL010300","UL01.A0.0","A1.51","A1",14
"HS010391",103,"A00S0120","A00","UL010300","UL01.A0.0","A1.51","A1",14
"HS010392",103,"A00S0120","A00","UL010300","UL01.A0.0","A1.51","A1",14
"HS010410",104,"A00S0120","A00","UL010410","UL01.A0.0","A1.51","A1",14
"HS010420",104,"A00S0120","A00","UL010420","UL01.A0.0","A1.51","A1",14
"HS010511",105,"A00S0120","A00","UL010500","UL01.05.0","A1.51","A1",14
"HS010512",105,"A00S0120","A00","UL010500","UL01.05.0","A1.51","A1",14
"HS010519",105,"A00S0120","A00","UL010500","UL01.05.0","A1.51","A1",14
"HS010594",105,"A00S0120","A00","UL010500","UL01.05.0","A1.51","A1",14
"HS010599",105,"A00S0120","A00","UL010500","UL01.05.0","A1.51","A1",14
"HS010611",106,"A00S0120","A00","UL0106A0","UL01.06.0","A1.51","A1",14
"HS010612",106,"A00S0120","A00","UL0106A0","UL01.06.0","A1.51","A1",14
"HS010619",106,"A00S0120","A00","UL010619","UL01.06.0","A1.51","A1",14
"HS010620",106,"A00S0120","A00","UL010620","UL01.06.0","A1.51","A1",14
"HS010631",106,"A00S0120","A00","UL010630","UL01.06.0","A1.51","A1",14
"HS010632",106,"A00S0120","A00","UL010630","UL01.06.0","A1.51","A1",14
"HS010639",106,"A00S0120","A00","UL010630","UL01.06.0","A1.51","A1",14
"HS010690",106,"A00S0120","A00","UL0106A0","UL01.06.0","A1.51","A1",14
"HS020110",201,"C19S1511","C19","UL020100","UL02.A0.A","B1.11","B1",101
"HS020120",201,"C19S1511","C19","UL020100","UL02.A0.A","B1.11","B1",101
"HS020130",201,"C19S1511","C19","UL020100","UL02.A0.A","B1.11","B1",101
"HS020210",202,"C19S1511","C19","UL020200","UL02.A0.A","B1.11","B1",101
"HS020220",202,"C19S1511","C19","UL020200","UL02.A0.A","B1.11","B1",101
"HS020230",202,"C19S1511","C19","UL020200","UL02.A0.A","B1.11","B1",101
"HS020311",203,"C19S1511","C19","UL020310","UL02.03.0","B1.11","B1",101
"HS020312",203,"C19S1511","C19","UL020310","UL02.03.0","B1.11","B1",101
"HS020319",203,"C19S1511","C19","UL020310","UL02.03.0","B1.11","B1",101
"HS020321",203,"C19S1511","C19","UL020320","UL02.03.0","B1.11","B1",101
"HS020322",203,"C19S1511","C19","UL020320","UL02.03.0","B1.11","B1",101
"HS020329",203,"C19S1511","C19","UL020320","UL02.03.0","B1.11","B1",101
"HS020410",204,"C19S1511","C19","UL0204A0","UL02.04.0","B1.11","B1",101
"HS020421",204,"C19S1511","C19","UL0204A0","UL02.04.0","B1.11","B1",101
"HS020422",204,"C19S1511","C19","UL0204A0","UL02.04.0","B1.11","B1",101
"HS020423",204,"C19S1511","C19","UL0204A0","UL02.04.0","B1.11","B1",101
"HS020430",204,"C19S1511","C19","UL0204B0","UL02.04.0","B1.11","B1",101
"HS020441",204,"C19S1511","C19","UL0204B0","UL02.04.0","B1.11","B1",101
"HS020442",204,"C19S1511","C19","UL0204B0","UL02.04.0","B1.11","B1",101
"HS020443",204,"C19S1511","C19","UL0204B0","UL02.04.0","B1.11","B1",101
"HS020450",204,"C19S1511","C19","UL020450","UL02.04.0","B1.11","B1",101
"HS020500",205,"C19S1511","C19","UL020500","UL02.F0.0","B1.11","B1",101
"HS020610",206,"C19S1511","C19","UL020600","UL02.F0.0","B1.11","B1",101
"HS020621",206,"C19S1511","C19","UL020A00","UL02.F0.0","B1.11","B1",101
"HS020622",206,"C19S1511","C19","UL020A00","UL02.F0.0","B1.11","B1",101
"HS020629",206,"C19S1511","C19","UL020A00","UL02.F0.0","B1.11","B1",101
"HS020630",206,"C19S1511","C19","UL020600","UL02.F0.0","B1.11","B1",101
"HS020641",206,"C19S1511","C19","UL020A00","UL02.F0.0","B1.11","B1",101
"HS020649",206,"C19S1511","C19","UL020A00","UL02.F0.0","B1.11","B1",101
"HS020680",206,"C19S1511","C19","UL020600","UL02.F0.0","B1.11","B1",101
"HS020690",206,"C19S1511","C19","UL020A00","UL02.F0.0","B1.11","B1",101
"HS020711",207,"C19S1512","C19","UL0207A0","UL02.07.0","B1.11","B1",101
"HS020712",207,"C19S1512","C19","UL0207B0","UL02.07.0","B1.11","B1",101
"HS020713",207,"C19S1512","C19","UL0207A0","UL02.07.0","B1.11","B1",101
"HS020714",207,"C19S1512","C19","UL0207B0","UL02.07.0","B1.11","B1",101
"HS020724",207,"C19S1512","C19","UL0207A0","UL02.07.0","B1.11","B1",101
"HS020725",207,"C19S1512","C19","UL0207B0","UL02.07.0","B1.11","B1",101
"HS020726",207,"C19S1512","C19","UL0207A0","UL02.07.0","B1.11","B1",101
"HS020727",207,"C19S1512","C19","UL0207B0","UL02.07.0","B1.11","B1",101
"HS020732",207,"C19S1512","C19","UL0207A0","UL02.07.0","B1.11","B1",101
"HS020733",207,"C19S1512","C19","UL0207B0","UL02.07.0","B1.11","B1",101
"HS020734",207,"C19S1512","C19","UL0207A0","UL02.07.0","B1.11","B1",101
"HS020735",207,"C19S1512","C19","UL0207A0","UL02.07.0","B1.11","B1",101
"HS020736",207,"C19S1512","C19","UL0207B0","UL02.07.0","B1.11","B1",101
"HS020810",208,"C19S1512","C19","UL020A00","UL02.F0.0","B1.11","B1",101
"HS020830",208,"C19S1512","C19","UL020A00","UL02.F0.0","B1.11","B1",101
"HS020840",208,"C19S1512","C19","UL020A00","UL02.F0.0","B1.11","B1",101
"HS020850",208,"C19S1512","C19","UL020A00","UL02.F0.0","B1.11","B1",101
"HS020890",208,"C19S1512","C19","UL020A00","UL02.F0.0","B1.11","B1",101
"HS020900",209,"C19S1511","C19","ULB00000","UL02.F0.0","B1.11","B1",101
"HS021011",210,"C19S1513","C19","UL021011","UL02.10.A","E1.22","E1",101
"HS021012",210,"C19S1513","C19","UL021012","UL02.10.A","E1.22","E1",101
"HS021019",210,"C19S1513","C19","UL021019","UL02.10.A","E1.22","E1",101
"HS021020",210,"C19S1513","C19","UL021020","UL21.09.0","E1.22","E1",101
"HS021091",210,"C19S1513","C19","UL021090","UL21.09.0","E1.22","E1",101
"HS021092",210,"C19S1513","C19","UL021090","UL21.09.0","E1.22","E1",101
"HS021093",210,"C19S1513","C19","UL021090","UL21.09.0","E1.22","E1",101
"HS021099",210,"C19S1513","C19","UL021090","UL21.09.0","E1.22","E1",101
"HS030110",301,"A00S0500","A00","UL030110","UL95.A0.0","E3.41","E3",30
"HS030191",301,"A00S0500","A00","UL030190","UL03.A0.A","B1.13","B1",30
"HS030192",301,"A00S0500","A00","UL030190","UL03.A0.A","B1.13","B1",30
"HS030193",301,"A00S0500","A00","UL030190","UL03.A0.A","B1.13","B1",30
"HS030194",301,"A00S0500","A00","UL030190","UL03.A0.A","B1.13","B1",30
"HS030195",301,"A00S0500","A00","UL030190","UL03.A0.A","B1.13","B1",30
"HS030199",301,"A00S0500","A00","UL030190","UL03.A0.A","B1.13","B1",30
"HS030211",302,"A00S0500","A00","UL030200","UL03.A0.A","B1.13","B1",30
"HS030212",302,"A00S0500","A00","UL030200","UL03.A0.A","B1.13","B1",30
"HS030219",302,"A00S0500","A00","UL030200","UL03.A0.A","B1.13","B1",30
"HS030221",302,"A00S0500","A00","UL030200","UL03.A0.A","B1.13","B1",30
"HS030222",302,"A00S0500","A00","UL030200","UL03.A0.A","B1.13","B1",30
"HS030223",302,"A00S0500","A00","UL030200","UL03.A0.A","B1.13","B1",30
"HS030229",302,"A00S0500","A00","UL030200","UL03.A0.A","B1.13","B1",30
"HS030231",302,"A00S0500","A00","UL030200","UL03.A0.A","B1.13","B1",30
"HS030232",302,"A00S0500","A00","UL030200","UL03.A0.A","B1.13","B1",30
"HS030233",302,"A00S0500","A00","UL030200","UL03.A0.A","B1.13","B1",30
"HS030234",302,"A00S0500","A00","UL030200","UL03.A0.A","B1.13","B1",30
"HS030235",302,"A00S0500","A00","UL030200","UL03.A0.A","B1.13","B1",30
"HS030236",302,"A00S0500","A00","UL030200","UL03.A0.A","B1.13","B1",30
"HS030239",302,"A00S0500","A00","UL030200","UL03.A0.A","B1.13","B1",30
"HS030240",302,"A00S0500","A00","UL030200","UL03.A0.A","B1.13","B1",30
"HS030250",302,"A00S0500","A00","UL030200","UL03.A0.A","B1.13","B1",30
"HS030261",302,"A00S0500","A00","UL030200","UL03.A0.A","B1.13","B1",30
"HS030262",302,"A00S0500","A00","UL030200","UL03.A0.A","B1.13","B1",30
"HS030263",302,"A00S0500","A00","UL030200","UL03.A0.A","B1.13","B1",30
"HS030264",302,"A00S0500","A00","UL030200","UL03.A0.A","B1.13","B1",30
"HS030265",302,"A00S0500","A00","UL030200","UL03.A0.A","B1.13","B1",30
"HS030266",302,"A00S0500","A00","UL030200","UL03.A0.A","B1.13","B1",30
"HS030267",302,"A00S0500","A00","UL030200","UL03.A0.A","B1.13","B1",30
"HS030268",302,"A00S0500","A00","UL030200","UL03.A0.A","B1.13","B1",30
"HS030269",302,"A00S0500","A00","UL030200","UL03.A0.A","B1.13","B1",30
"HS030270",302,"A00S0500","A00","UL03D000","UL03.A0.B","B1.13","B1",102
"HS030311",303,"C19S1520","C19","UL030300","UL03.A0.B","B1.13","B1",102
"HS030319",303,"C19S1520","C19","UL030300","UL03.A0.B","B1.13","B1",102
"HS030321",303,"C19S1520","C19","UL030300","UL03.A0.B","B1.13","B1",102
"HS030322",303,"C19S1520","C19","UL030300","UL03.A0.B","B1.13","B1",102
"HS030329",303,"C19S1520","C19","UL030300","UL03.A0.B","B1.13","B1",102
"HS030331",303,"C19S1520","C19","UL030300","UL03.A0.B","B1.13","B1",102
"HS030332",303,"C19S1520","C19","UL030300","UL03.A0.B","B1.13","B1",102
"HS030333",303,"C19S1520","C19","UL030300","UL03.A0.B","B1.13","B1",102
"HS030339",303,"C19S1520","C19","UL030300","UL03.A0.B","B1.13","B1",102
"HS030341",303,"C19S1520","C19","UL030300","UL03.A0.B","B1.13","B1",102
"HS030342",303,"C19S1520","C19","UL030300","UL03.A0.B","B1.13","B1",102
"HS030343",303,"C19S1520","C19","UL030300","UL03.A0.B","B1.13","B1",102
"HS030344",303,"C19S1520","C19","UL030300","UL03.A0.B","B1.13","B1",102
"HS030345",303,"C19S1520","C19","UL030300","UL03.A0.B","B1.13","B1",102
"HS030346",303,"C19S1520","C19","UL030300","UL03.A0.B","B1.13","B1",102
"HS030349",303,"C19S1520","C19","UL030300","UL03.A0.B","B1.13","B1",102
"HS030351",303,"C19S1520","C19","UL030300","UL03.A0.B","B1.13","B1",102
"HS030352",303,"C19S1520","C19","UL030300","UL03.A0.B","B1.13","B1",102
"HS030361",303,"C19S1520","C19","UL030300","UL03.A0.B","B1.13","B1",102
"HS030362",303,"C19S1520","C19","UL030300","UL03.A0.B","B1.13","B1",102
"HS030371",303,"C19S1520","C19","UL030300","UL03.A0.B","B1.13","B1",102
"HS030372",303,"C19S1520","C19","UL030300","UL03.A0.B","B1.13","B1",102
"HS030373",303,"C19S1520","C19","UL030300","UL03.A0.B","B1.13","B1",102
"HS030374",303,"C19S1520","C19","UL030300","UL03.A0.B","B1.13","B1",102
"HS030375",303,"C19S1520","C19","UL030300","UL03.A0.B","B1.13","B1",102
"HS030376",303,"C19S1520","C19","UL030300","UL03.A0.B","B1.13","B1",102
"HS030377",303,"C19S1520","C19","UL030300","UL03.A0.B","B1.13","B1",102
"HS030378",303,"C19S1520","C19","UL030300","UL03.A0.B","B1.13","B1",102
"HS030379",303,"C19S1520","C19","UL030300","UL03.A0.B","B1.13","B1",102
